"HolderAddress","Quantity","PendingBalanceUpdate"
"0x49e17a71ebe3046cf1fce23cea8e84ce3c9d33af","4","No"
"0xb20c291cc1239688b337777ad6a41156061c05cd","4","No"
"0x9ddeae0ea63567fd965648820ae0b95841dd6163","4","No"
"0x5dd72b7d5ac002e756b0a7b0cbaf57152cfef185","4","No"
"0x66eca5edf5db700c97d6ace46fe6c4cf70951f7a","4","No"
"0x480d465b2f9878596e3ac6369745aee469516337","4","No"
"0xc926ddba8b7617dbc65712f20cf8e1b58b8598d3","4","No"
"0x3d7d363d0cb52bacb92be25458d291b9fa73aed6","4","No"
"0x9d44c49df2cb83f7009ad5854878f88a623f3634","4","No"
"0xbe35979e67f702b11efe003feb10323afda390f9","4","No"
"0x71b8475b3c94daa434b736b3ed9475f9944104a1","4","No"
"0xcdae1bab521e6ad0756f41166e1ac68d4b5ba55a","4","No"
"0x589668303d20bf9d820a3836658a4960475fdaa4","4","No"
"0x59b836b2f15c89e1007e011af47607e01c365f71","4","No"
"0x3be25eef7b994c05eb119548e700de5a304b5baf","4","No"
"0x4d9e86a5ac368aa4df0473ef07e13ec2fbe04025","4","No"
"0x5d55a50e4a1d7ce19b108ad4a44c60d02fad9637","4","No"
"0xaf9e021fc76c0afbf4a520152c5cf792561503b5","4","No"
"0x92c8259eaf59f6e9c43b58adf21d76fa991f5b90","4","No"
"0x20b4e6caba712f520d9a3a309d8c0b0da801a212","4","No"
"0x326a5b23b751bd73d5ae7a93600072310e47b360","4","No"
"0x261812f2b755a272d6705f080ed63f02573adeb8","4","No"
"0xf38f235813b67f21ac624cedab107d15d46f181a","4","No"
"0xb0b2b405c9d09d129e9f9b18c9dd218c532f2b2a","4","No"
"0x505d79c7379ee65b6c2d6d18a0e7ab901b00756c","4","No"
"0x684d3378e4f2aa482df66fff13e1a674392c4730","4","No"
"0xd444042b71849666b15f61ca98180aaf9d4dc6fa","4","No"
"0x568022ee46ed6f338e16153e51ee1a0d603e639e","4","No"
"0x45a5b49ea937022cb34933f36591f1e84bb3d221","4","No"
"0x23e80b7666f3163bdd965f5e605794ecc6ee281e","4","No"
"0x75e8ea98b37c1f9c75557bc45b5ebb8100a565e3","4","No"
"0x6e3825e5f129427548f6f1d57ed3352c7a147416","4","No"
"0xc17aedb8070d726d2a68c2c8163612721ef2b0ec","4","No"
"0x02608803a2c3625bb388e9bd9fcf6ca0ce04c8c9","4","No"
"0x93771c1622e780a48d62333374ea743fa3d644d3","4","No"
"0x3c3d29afcdb02a35f2a1108fdd61dd8cc60b4719","4","No"
"0x09e75ebf5f560ed52e516ae1e6a1023caa06d96a","4","No"
"0x5c8413d0d908c9caa91ac36f60affab023ddf88a","4","No"
"0xea904e4dc48bf280e811f496906ed84cf6a4ba4c","4","No"
"0xcf3a43765250cc13792642baed5881fb9efacec8","4","No"
"0xa3ced3f70dd04873508d903e02c58c47a55579dd","4","No"
"0xef994cfbb484f1cece3a99ad7978510644ae3e95","4","No"
"0x45438740d1f68699339df79efad9eb58c5729656","4","No"
"0xcfe122de90515685f806e79b29ff9351ce764098","4","No"
"0xa679239fffd1bdad2dedce851595d21d89837161","4","No"
"0xeac4824eecc66901ef40309cb3a4939cff57ffb9","4","No"
"0x78dfd3f8a1d3729166eebc50bb3cfd9d587a9746","4","No"
"0x8d5c7d8eb3858249ba51c2a43d1fa74e0396d5c4","4","No"
"0x97eda119ee3afc2863e5495b925ce5d8937bc3a1","4","No"
"0x39490aad905c5ea87f6de0dc7d42bfe5404ba037","4","No"
